input,ground_truth
分体式直流供电设备中，液冷式充电终端在3级能效等级下的每百安运行功耗上限是多少？,分体式直流供电设备中，液冷式充电终端在3级能效等级下的每百安运行功耗上限是600W。
根据表1，一体式直流供电设备在2级能效等级时的待机功耗最高允许值是多少？,根据表1，一体式直流供电设备在2级能效等级时的待机功耗最高允许值是30.0W。
分体式直流供电设备的能效等级划分依据包括哪些指标？,分体式直流供电设备的能效等级划分依据包括功率柜的充电效率、待机功耗以及单个充电终端的每百安运行功耗。
分体式直流供电设备的能效限定值依据什么标准？,分体式直流供电设备能效限定值为表2中能效等级3级规定的充电效率、待机功耗和每百安运行功耗。
液冷式充电终端枪线长度超过5m时，每增加1m对每百安运行功耗有何影响？,液冷式充电终端枪线长度超过5m时，每增加1m，每百安运行功耗要求相应增加100W。
采用压缩机冷却方式的充电终端是否考核每百安运行功耗？,不考核。采用压缩机冷却方式的充电终端，不考核每百安运行功耗。
交流供电设备能效限定值中允许的最大待机功耗是多少？,交流供电设备能效限定值所允许的待机功耗应不高于7.0W。
根据文档，交流供电设备待机功耗的能效限定值是多少？,交流供电设备待机功耗的能效限定值应不高于7.0W。
直流供电设备待机功耗测试中，测量仪器的功率测量最大允许误差和分辨力要求是什么？,测量直流供电设备待机功耗的仪器仪表，功率测量最大允许误差不大于0.05W，分辨力不大于0.01W。
按照附录A，测试直流供电设备能效时，环境温度应控制在什么范围内？,测试直流供电设备能效时，环境温度应控制在25℃±5℃范围内。
对于具备网络连接功能的直流供电设备，在进行能效测试时应如何处理该功能？,如被测产品具备网络连接功能，应通过由制造商提供的标准或可选硬件激活此功能，且测试期间应保持与网络的实时连接。
在测试一体式直流供电设备的充电效率时，输出端功率采样点应设置在哪里？,对于一体式直流供电设备，被测产品输出端功率采样点应设置在充电接口。
如果被测产品具有可调节亮度的显示屏，在充电效率测试中应如何设置屏幕亮度？,如屏幕亮度可调，应将屏幕亮度调整到最大。
进行充电效率与运行功耗测试前，供电设备需要进行多长时间的预热运行？,供电设备应在额定最大功率下预热运行至少30分钟，直至产品处于稳定运行模式。
测试分体式直流供电设备功率柜的充电效率时，推荐连接哪种设备？,优先选择连接配套充电终端，也可连接车辆模拟装置。
在一体式直流供电设备能效测试中，Uin1、Uin2、Uin3代表什么？,Uin1、Uin2、Uin3代表一体式直流供电设备供电网侧的交流相电压。
分体式直流供电设备的充电终端供电网侧直流电流用哪个符号表示？,分体式直流供电设备的充电终端供电网侧直流电流用Iin_DC表示。
根据表A.1，当额定最大功率Pmax为80kW时，应设置哪些测试负载点？,当额定最大功率Pmax为80kW（属于60kW<Pmax≤250kW范围）时，应设置50%Pmax和100%Pmax两个测试负载点。
在分体式直流供电设备能效测试系统中，DC+和DC-分别代表什么？,DC+代表直流供电回路正极，DC-代表直流供电回路负极。
当额定最大电压Umax≥800V且额定最大功率Pmax>250kW时，测试负载包含哪些百分比的Pmax？,当额定最大电压Umax≥800V且额定最大功率Pmax>250kW时，测试负载包含20%Pmax、50%Pmax和100%Pmax。
在计算充电效率ηij时，Eout和Ein_op分别代表什么？,Eout代表被测产品在运行模式下的直流输出积分电能值，单位为瓦时(W·h)；Ein_op代表被测产品在运行模式下的交流输入积分电能值，单位为瓦时(W·h)。
对于额定最大电压600V≤Umax<800V且Pmax≤60kW的情况，测试电压和对应的测试点位数是多少？,对于额定最大电压600V≤Umax<800V且Pmax≤60kW的情况，测试电压为U1=400V和U2=600V，测试点位数为2。
根据表A.2，当Umax≥800V时，各测试电压分布系数αi_V分别是多少？,当Umax≥800V时，各测试电压分布系数αi_V分别为：α1_V（U1=400V）取0.300，α2_V（U2=600V）取0.300，α3_V（U3=800V）取0.400。
表A.3中，当额定最大功率Pmax大于250kW时，各测试负载分布系数αj_L的取值分别是多少？,当Pmax>250kW时，α1_L（20%Pmax）取值为0.200，α2_L（50%Pmax）取值为0.500，α3_L（100%Pmax）取值为0.300。
根据文档内容，分体式直流供电设备充电终端的运行功耗测试中，输入端功率采样点与被测产品供电输入端的距离要求是多少？,输入端功率采样点与被测产品的供电输入端的传导距离应不超过0.3米。
在计算分体式直流供电设备充电终端每百安运行功耗Pop时，公式(A.3)中的Imax代表什么？,Imax代表终端额定持续电流的安培数值。
进行待机功耗测试时，待机模式下的测试时间有何要求？,待机功耗测试时间应不少于30分钟，从点亮屏幕开始测试。
在待机模式下，如何计算被测产品的待机功耗Psp？请根据公式说明各个参数的含义。,待机功耗Psp按公式(A.4)计算：Psp = Ein_sp / Tsp。其中，Psp表示被测产品在待机模式下的功耗，单位为瓦(W)；Ein_sp表示在待机模式下的交流输入积分电能值，单位为瓦时(W·h)；Tsp表示待机模式下的电能测试累积时间，单位为小时(h)。
交流供电设备待机功耗测试中，环境温度应控制在什么范围内？,根据文档B.1.1条款，试验环境的环境温度应控制在25℃±5℃范围内。
进行待机功耗测试时，对功率测量仪器的最大允许误差和分辨力有何要求？,除另有规定外，测量交流供电设备待机功耗的仪器仪表，其功率测量最大允许误差不大于0.05W，分辨力不大于0.01W。
如果被测交流供电设备具备可调节屏幕亮度的显示器，在待机功耗测试中应如何设置屏幕亮度？,如果被测产品包含显示充电信息的显示器且屏幕亮度可调，应将屏幕亮度调整到最大屏幕亮度进行测试。
在进行交流供电设备待机功耗测试时，功率采样点与被测产品供电输入端的最大传导距离是多少？,功率采样点与被测产品的供电输入端的传导距离应不超过0.3米。
待机功耗测试中，屏幕亮度不可调时应如何处理？,如屏幕亮度不可调，应保持出厂默认设置状态。
待机功耗测试的最短测试时间是多少？,待机功耗测试时间应不少于30分钟。
进行待机功耗测试前，被测产品需要静置多长时间？,测试前需确认被测产品处于待机状态，并静置至少3分钟。
