input,ground_truth
危险货物运输车辆在轮胎和限速方面有哪些具体规定？,危险货物运输车辆应装用子午线轮胎，不得使用翻新轮胎；危险货物运输货车应具备限速功能或配备限速装置，且最大速度不应大于80km/h。
根据GB21668—2025，危险货物运输车辆中驾驶室内应为每位随车人员配备哪些安全装备？,根据GB21668—2025，驾驶室内应为每位随车人员配备：1件符合GB/T38046规定的反光背心、1个防爆的便携式照明设备、1件眼部防护装备（如护目镜）。
牵引车辆和挂车之间的电气接头需要满足怎样的防护等级要求？,牵引车辆和挂车之间的电气接头应满足GB/T4208规定的IP54防护等级的要求，并应具有防止意外断接的功能。
电源总开关在驾驶室内外的设置有何具体要求？,驾驶室内、外应分别各设置至少1个电源总开关控制装置；控制装置应安装在易于操作的位置，设置清晰标记，并有防止误操作的保护装置；启动后开关应在10秒内断开电路；驾驶室外的控制装置应至少具备关闭电源总开关的功能。
哪些电路部分可以不经过熔断器或自动断路器进行保护？,可以不经过熔断器或自动断路器保护的电路部分包括：从蓄电池到启动及发动机停机系统、从蓄电池到交流发电机、从交流发电机到熔断器或断路器盒、从蓄电池到起动机、从蓄电池到电气或电磁式缓速制动系统的控制箱。
危险货物运输货车（半挂牵引车除外）和半挂汽车列车随车携带的便携式灭火器需要满足什么要求？,危险货物运输货车（半挂牵引车除外）和半挂汽车列车随车携带的便携式灭火器的数量及容量应满足表1的要求，且灭火器应适用于扑救车辆部件起火。
当危险货物运输车辆的最大总质量为5000kg时，应配备多少个适用于发动机或驾驶室的灭火器，每个最小容量是多少？,当最大总质量在3500kg到7500kg之间时，应至少配备1个适用于发动机或驾驶室的灭火器，最小容量为1kg。
最大总质量超过7500kg的危险货物运输车辆，总共需要携带几个便携式灭火器？,最大总质量超过7500kg的危险货物运输车辆需要携带总共3个便携式灭火器，其中包括1个适用于发动机或驾驶室的灭火器和2个其他灭火器。
适用于扑救车辆部件起火的灭火器是否必须随车携带？,是的，危险货物运输货车（半挂牵引车除外）和半挂汽车列车随车携带的灭火器应适用于扑救车辆部件起火。
根据GB21668—2025，最大总质量不超过3500kg的危险货物运输车辆应至少配备多少个适用于发动机或驾驶室的灭火器？,根据GB21668—2025，最大总质量不超过3500kg的危险货物运输车辆应至少配备1个适用于发动机或驾驶室的灭火器。
运输剧毒化学品的车辆排气管出口是否需要安装机动车排气火花熄灭器？在什么情况下可以不安装？,运输剧毒化学品的车辆排气管出口应安装符合GB13365规定的机动车排气火花熄灭器；但如果按照GB20800.1—2006中5.4.3规定的方法进行试验未观察到火花，则排气管出口准许不安装机动车排气火花熄灭器。
危险货物运输货车的单燃油箱最大容积应为多少？依据是哪一条款？,危险货物运输货车的单燃油箱容积应小于或等于400L，依据是标准中的5.4.3.2条款。
对于最大总质量大于7500kg的危险货物运输车辆，其他灭火器的最小数量和最小容量分别是多少？,对于最大总质量大于7500kg的危险货物运输车辆，其他灭火器的最小数量为2个，最小容量为每个4kg。
根据GB21668—2025，安装在驾驶室后壁之后带有缓速器的车辆，应在缓速器与载货装置之间设置什么装置？,应在缓速器与载货装置之间设置既能防止缓速器发热危及货物，又能防止货物泄漏危及缓速器本身的隔热层。
危险货物运输车辆上安装的燃烧加热器在发动机停机后应如何工作？,当危险货物运输车辆发动机停机时，燃烧加热器应自动停止工作，但可以通过手动开关重新开启。
根据GB21668—2025，EX/Ⅱ型和EX/Ⅲ型危险货物运输车辆在导静电橡胶拖地带的安装数量上有何要求？,EX/Ⅱ型车辆和EX/Ⅲ型车辆应至少安装2根导静电橡胶拖地带。
对于载货区域内的燃烧加热器，其运行时需满足哪项关于爆炸性环境的安全要求？,安装在载货区域内的燃烧加热器，在运行时应不会引起爆炸性环境点燃。
危险货物运输半挂牵引车应安装哪种型号的牵引座，且需符合哪些国家标准？,危险货物运输半挂牵引车应安装符合GB/T13880、GB/T20069和GB/T31879规定的50号牵引座。
根据文档，哪些车辆的转向轴或所有车轴必须装备盘式制动器，并具备制动间隙自动调整功能？,危险货物运输货车的转向轴以及危险货物运输半挂车的所有车轴应装备盘式制动器，且所有行车制动器应具备制动间隙自动调整功能。
运输剧毒化学品的车辆的车载终端在主电源中断后，备用电池组至少应支持多长时间的正常工作？,运输剧毒化学品的车辆的车载终端备用电池组应支持正常工作的时间大于或等于8小时。
哪些类型的车辆需要在载货装置的后部和两侧粘贴橙色反光带，且反光带需满足什么标准？,EX/Ⅱ型车辆、EX/Ⅲ型车辆、运输剧毒化学品的车辆、运输轻质燃油和用于轻质燃油加油作业的车辆需要在载货装置的后部和两侧粘贴橙色反光带，且橙色反光带应满足GB11564—2024中B类反光标识材料的要求。
哪些类型的车辆必须安装符合附录B式样和尺寸的安全标示牌？,EX/Ⅱ型车辆、EX/Ⅲ型车辆、运输剧毒化学品的车辆、运输轻质燃油和用于轻质燃油加油作业的车辆必须安装式样及尺寸符合附录B的安全标示牌。
危险货物运输车辆安全标示牌的可视空间范围由哪几个平面组成？,危险货物运输车辆安全标示牌的可视空间范围由以下四个平面组成：通过标示牌两侧边并呈向外30°的两个铅垂平面，通过标示牌上边缘与水平面向上15°的平面，以及经标示牌下边缘的水平面；若标示牌上边缘离地高度大于1200mm，则该平面应与水平面向下15°。
80km/h限速标识在车辆上的可视范围是如何规定的？,80km/h限速标识应在通过限速标识外圆边缘并呈向外30°的锥面曲面空间范围内可视。
危险货物运输车辆配备车用起重尾板时，对平台承载面的导静电性能有何要求？,配备车用起重尾板时，起重尾板的平台承载面应铺设厚度不小于5mm的阻燃导静电胶板，且胶板任意一点与导静电橡胶拖地带之间的电阻值应为10⁴Ω~10⁸Ω；若平台承载面采用有色金属材料，则可不铺设阻燃导静电胶板。
根据文档，感烟火灾探测器应安装在车辆的哪个位置？,感烟火灾探测器应设在货厢内。
配备车用起重尾板时，平台承载面铺设的阻燃导静电胶板厚度有何要求？,胶板厚度应不小于5mm。
总质量大于或等于7500kg的车辆应安装何种视频监控系统？摄像头应设置在何处？,应安装尾部视频监控系统，视频摄像头应设在货厢外后部上端，用于监控车辆尾部货厢门状态。
同时运输炸药和雷管时，对雷管的装载有何具体要求？,货厢内应设置隔板分隔成两个独立货舱，其中一个货舱应安装抗爆容器，雷管必须装载在抗爆容器内；单个抗爆容器存药量不应超过100g，或折合8号瞬发工业电雷管不超过100发。
根据GB21668—2025，最大总质量大于或等于7500kg的危险货物运输车辆，罐体后封头及管路附件外端面与后下部防护装置内侧在车辆长度方向垂直投影的距离应满足什么要求？,应大于或等于300mm。
罐体顶部有露出的装卸管路和安全附件时，倾覆保护装置应能承受多大的惯性力？,应能承受2倍车辆最大允许总质量乘以重力加速度的惯性力。
根据文档内容，运输轻质燃油的半挂车，其装卸阀门应安装在什么位置？,应位于支腿与后下部防护之间的位置。
常压罐式危险货物运输车辆的罐体、安全附件和装卸附件应符合哪些国家标准？,应符合GB18564.1或GB18564.2的要求。
运输医疗废物的车辆在货厢内部应如何设置装载限制线？,货厢内部应设置高度方向限制装载线，并在货厢侧壁标识。按照车辆最大允许装载质量装载后，货厢内至少应有1/4的空间未装载。应依据车辆最大允许装载质量和医疗废物体积质量200kg/m³计算限制装载线高度，且限制装载线应清晰醒目、不易脱落褪色。
控制温度物质运输车辆对货厢总传热系数的要求是什么？,按GB29753规定的隔热性能试验方法，控制温度物质运输车辆的货厢总传热系数应不超过0.4W/(m²·℃)。
哪些类项的危险货物可以使用纯电动汽车进行运输？,纯电动汽车仅准许用于运输GB6944—2025中第2.2项非易燃无毒气体和第9类杂项危险物质和物品。
运输压缩气体的管束结构危险货物运输车辆，其装卸阀门可设置在什么位置？,运输压缩气体的管束结构危险货物运输车辆，装卸阀门准许设置在罐体后部。
根据文档，纯电动汽车仅允许运输哪些类别的危险货物？,根据文档，纯电动汽车仅允许运输GB6944—2025中第2.2项非易燃无毒气体和第9类杂项危险物质和物品。
用于危险货物运输的纯电动汽车在驾驶室应标示什么信息？,用于危险货物运输的纯电动汽车应在驾驶室易见位置标示车辆准许运输的危险货物的类项号。
动力蓄电池系统安装箱体与载货装置之间的阻燃隔热材料需要满足哪些性能要求？,阻燃隔热材料的燃烧特性应符合GB8624—2012中规定的A级要求，并且在300℃时导热系数应不大于0.04W/(m·K)。
封闭式货厢在用于危险货物运输时，烟火报警系统有哪些具体要求？,封闭式货厢应安装烟火报警系统，感烟火灾探测器应设在货厢内并符合GB4715的规定，报警蜂鸣器应设在驾驶室内；报警系统不应受电源总开关控制，报警音响声级应大于或等于100dB(A)。
半挂汽车列车装备电控车辆稳定控制系统的要求在文档中的哪个条款中提及？,文档中未明确提及半挂汽车列车装备电控车辆稳定控制系统的具体条款，仅提到了关于安装自动紧急制动系统（AEBS）的相关要求。
N2、N3类车辆中哪些车辆需要遵守5.1.13关于安装自动紧急制动系统（AEBS）的要求？,除半挂牵引车外的N2、N3类车辆需要遵守5.1.13关于安装自动紧急制动系统（AEBS）的要求。
新申请型式批准的车型从何时开始执行8.3条款中的相关要求？,新申请型式批准的车型自本文件实施之日起第25个月开始执行8.3条款中的相关要求。
EX/Ⅱ型车辆运输项别为1.2的货物时，其配载限额是多少千克？,EX/Ⅱ型车辆运输项别为1.2的货物时，其配载限额是3000千克。
根据文档内容，托运人信息中需要提供几个联系电话？分别是什么？,需要提供2个联系电话，分别是了解所托运货物危险特性及应急处置措施的人员的电话和托运委托人电话。
橙色反光带在车辆上的粘贴位置有什么具体要求？,橙色反光带应沿通过载货装置中心线的水平面与载货装置外表面的交线处均匀粘贴；后部的反光带应体现载货装置后部的宽度，侧面的反光带应体现载货装置侧面的长度。
哪些类型的车辆需要在两侧和尾部安装安全标示牌？,EX/Ⅱ型车辆、EX/Ⅲ型车辆、运输剧毒化学品的车辆、运输轻质燃油和用于轻质燃油加油作业的车辆需要在两侧和尾部安装符合附录B要求的安全标示牌。
罐式车辆尾部的安全标示牌和限速标识的安装有哪些要求？,罐式车辆应在尾部设置1块限速标识和1块安全标示牌，二者不应被遮挡，且要避开车辆放大号，允许选择在恰当位置装用；限速标识应位于车辆前进方向左侧，最下端离地高度不小于1000mm，并置于车辆尾部。
罐式车辆应在车辆尾部设置哪些标识，且有哪些安装要求？,罐式车辆应在车辆尾部设置1块限速标识和1块安全标示牌，这些标识不应被遮挡，需避开车辆放大号，允许选择在车辆恰当位置装用。
厢式车辆两侧应如何设置安全标示牌？,厢式车辆应在车辆两侧各设置1块安全标示牌，允许选择在车辆恰当位置装用。
栏板及仓栅式车辆在尾部需要设置哪些标识，有何注意事项？,栏板及仓栅式车辆应在车辆尾部设置1块限速标识和1块安全标示牌，标识不应被遮挡，需避开车辆放大号，允许选择在车辆恰当位置装用。
运输危险货物集装箱的车辆是否需要粘贴橙色反光带和设置侧面安全标示牌？,运输危险货物集装箱或可移动罐柜的车辆无需粘贴橙色反光带，车辆两侧也准许不设置安全标示牌。
运输危险货物集装箱或可移动罐柜的车辆在尾部需要设置哪些标识，且有何要求？,应在车辆尾部设置1块限速标识和1块安全标示牌，限速标识和安全标示牌不应被遮挡，允许选择在车辆恰当位置装用。
根据附录D，常压罐式危险货物运输车辆后部防护装置的宽度应满足什么条件？,后部防护装置宽度应大于或等于罐体最大宽度，且小于或等于车辆后轴两侧车轮最外点之间的距离（不包括轮胎的变形量）。
后部防护装置的横向构件端部应如何处理以确保安全性？,后部防护装置横向构件的两端不应弯向车辆后方且不应有尖锐的外侧边缘，外侧端应倒圆，其圆角半径不小于2.5mm。
按照D.2.2的规定，进行后部防护装置试验时车辆应处于何种状态？,车辆应处于空载状态，置于水平、平坦、刚性、平滑的平面上；前轮处于直线行驶位置；轮胎充气至制造商推荐压力；并按制造商指定方式固定车辆以满足试验载荷要求。
根据D.2.3.1.1，加载装置的加载面高度有何要求？,加载装置的加载面高度不大于250mm，具体高度由制造商确定。
对于装有空气悬架或自动平衡装置的车辆，在进行试验时应处于何种状态？,应处于车辆制造商规定的正常运行的空载状态。
D.2.3.2中规定的试验载荷如何确定？,每点加载力为200kN或车辆最大设计总质量大小的水平载荷，取两者中的较小值。
当后部防护装置固定于罐式车辆纵梁尾部时，加载点应位于哪个区域？,加载点位于纵梁在后部防护装置后端面上投影所形成的区域，并沿车辆横向左右延伸至后部防护装置两端所形成的平面上，且不应低于纵梁下表面。
根据文档，试验载荷的大小如何确定？,每点加载力为200kN或车辆最大设计总质量大小的水平载荷，取两者中的较小值。
在进行加载试验时，是否可以使用不同的试验样品逐个测试加载点？,不可以，试验过程中应使用同一试验样品，逐一对加载点进行加载试验。
如果后部防护装置关于车辆纵向中心平面呈对称结构，在试验中有什么简化措施？,若后部防护装置以车辆纵向中心平面为轴对称，准许只测左右两侧中的一个点。
文档中提到的‘图 D.2’是什么示意图？,图 D.2 是加载点位置示意图。
